observation_id,source_type,latitude,longitude,timestamp,depth_m,forecast_temperature,observed_temperature,forecast_salinity,observed_salinity,forecast_current,observed_current,forecast_ssh,observed_ssh,temp_error,salinity_error,current_error,ssh_error,abs_temp_error,abs_saln_error,abs_curr_error,abs_ssh_error,month,season,time_diff_hours,region_id,ocean_basin,observation_density,reliability_score,reliability_category
ARGO_5900000_R0,ARGO_FLOAT,2.0704,148.7196,2026-09-07 14:57:56,0.0,27.785,28.188,37.064,35.09,0.156,,-0.267,,-0.4029999999999987,1.9739999999999966,,,0.4029999999999987,1.9739999999999966,,,9,Autumn,0.0,SPAC,South Pacific Ocean,46,56.5,Low Reliability
ARGO_5900000_R1,ARGO_FLOAT,2.0704,148.7196,2026-09-07 14:57:56,10.0,27.454,26.893,37.132,35.132,0.254,,-0.267,,0.5609999999999999,2.0,,,0.5609999999999999,2.0,,,9,Autumn,0.0,SPAC,South Pacific Ocean,46,54.4,Low Reliability
ARGO_5900000_R2,ARGO_FLOAT,2.0704,148.7196,2026-09-07 14:57:56,20.0,26.209,25.9,36.827,35.167,0.229,,-0.267,,0.30900000000000105,1.6599999999999966,,,0.30900000000000105,1.6599999999999966,,,9,Autumn,0.0,SPAC,South Pacific Ocean,46,63.7,Low Reliability
ARGO_5900000_R3,ARGO_FLOAT,2.0704,148.7196,2026-09-07 14:57:56,50.0,24.2,23.23,37.081,35.219,0.241,,-0.267,,0.9699999999999989,1.8620000000000019,,,0.9699999999999989,1.8620000000000019,,,9,Autumn,0.0,SPAC,South Pacific Ocean,46,53.1,Low Reliability
ARGO_5900000_R4,ARGO_FLOAT,2.0704,148.7196,2026-09-07 14:57:56,100.0,20.439,19.424,36.944,35.217,0.121,,-0.267,,1.0150000000000006,1.7270000000000039,,,1.0150000000000006,1.7270000000000039,,,9,Autumn,0.0,SPAC,South Pacific Ocean,46,55.3,Low Reliability
ARGO_5900000_R5,ARGO_FLOAT,2.0704,148.7196,2026-09-07 14:57:56,150.0,20.439,16.206,36.944,35.362,0.121,,-0.267,,4.2330000000000005,1.5820000000000007,,,4.2330000000000005,1.5820000000000007,,,9,Autumn,0.0,SPAC,South Pacific Ocean,46,26.0,Low Reliability
ARGO_5900000_R6,ARGO_FLOAT,2.0704,148.7196,2026-09-07 14:57:56,200.0,14.865,13.726,37.294,35.255,0.052,,-0.267,,1.1389999999999993,2.0389999999999944,,,1.1389999999999993,2.0389999999999944,,,9,Autumn,0.0,SPAC,South Pacific Ocean,46,47.8,Low Reliability
ARGO_5900000_R7,ARGO_FLOAT,2.0704,148.7196,2026-09-07 14:57:56,300.0,14.865,9.925,37.294,35.335,0.052,,-0.267,,4.9399999999999995,1.958999999999996,,,4.9399999999999995,1.958999999999996,,,9,Autumn,0.0,SPAC,South Pacific Ocean,46,11.4,Low Reliability
ARGO_5900000_R8,ARGO_FLOAT,2.0704,148.7196,2026-09-07 14:57:56,400.0,6.943,7.151,37.41,35.434,0.032,,-0.267,,-0.20800000000000018,1.975999999999999,,,0.20800000000000018,1.975999999999999,,,9,Autumn,0.0,SPAC,South Pacific Ocean,46,58.4,Low Reliability
ARGO_5900000_R9,ARGO_FLOAT,2.0704,148.7196,2026-09-07 14:57:56,500.0,6.943,5.701,37.41,35.428,0.032,,-0.267,,1.242,1.9819999999999993,,,1.242,1.9819999999999993,,,9,Autumn,0.0,SPAC,South Pacific Ocean,46,47.9,Low Reliability
